TMU ID, Legacy TMU ID, Site Name,,,,,,,,
C6E971CAD3C6789BE0433CC411ACCCEA,30015880,TMU Site 7044/1 on A3113 eastbound between M25 and A3044; GPS Ref: 504388;175287; Eastbound,,,,,,,,
,,,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, NTIS Model Version
2019/9/1,0:14:00,5,54,45,1,1,7,77.8,15,10
2019/9/1,0:29:00,5,36,29,2,3,2,78.79,15,10
2019/9/1,0:44:00,5,27,22,0,1,4,77.04,15,10
2019/9/1,0:59:00,5,18,11,2,1,4,72.42,15,10
2019/9/1,1:14:00,6,32,27,1,0,4,83.88,15,10
2019/9/1,1:29:00,6,14,9,1,3,1,82.3,15,10
2019/9/1,1:44:00,6,25,20,2,1,2,79.41,15,10
2019/9/1,1:59:00,6,24,17,2,1,4,79.88,15,10
2019/9/1,2:14:00,6,16,11,0,1,4,74.48,15,10
2019/9/1,2:29:00,6,19,10,5,2,2,82.24,15,10
2019/9/1,2:44:00,6,19,15,1,1,2,79.26,15,10
2019/9/1,2:59:00,6,22,13,3,0,6,75.3,15,10
2019/9/1,3:14:00,6,19,15,1,2,1,76.23,15,10
2019/9/1,3:29:00,6,31,23,2,3,3,80.53,15,10
2019/9/1,3:44:00,6,31,25,3,0,3,84.58,15,10
2019/9/1,3:59:00,6,39,34,0,2,3,83.63,15,10
2019/9/1,4:14:00,6,67,58,4,4,1,79.22,15,10
2019/9/1,4:29:00,6,79,66,1,8,4,81.43,15,10
2019/9/1,4:44:00,6,82,78,0,1,3,82.96,15,10
2019/9/1,4:59:00,6,88,77,4,5,2,81.72,15,10
2019/9/1,5:14:00,6,112,91,6,8,7,82.3,15,10
2019/9/1,5:29:00,6,133,122,3,3,5,82.46,15,10
2019/9/1,5:44:00,6,185,172,5,2,6,83.69,15,10
2019/9/1,5:59:00,6,169,147,6,10,6,82.93,15,10
2019/9/1,6:14:00,6,155,136,9,4,6,85.83,15,10
2019/9/1,6:29:00,6,189,172,8,5,4,85.85,15,10
2019/9/1,6:44:00,6,194,170,12,5,7,85.83,15,10
2019/9/1,6:59:00,6,166,142,12,7,5,84.35,15,10
2019/9/1,7:14:00,6,168,152,9,5,2,86.99,15,10
2019/9/1,7:29:00,6,205,185,9,3,8,84.45,15,10
2019/9/1,7:44:00,6,152,131,8,5,8,82.32,15,10
2019/9/1,7:59:00,6,173,153,8,6,6,82.14,15,10
2019/9/1,8:14:00,6,142,121,12,5,4,84.7,15,10
2019/9/1,8:29:00,6,132,99,14,10,9,83.29,15,10
2019/9/1,8:44:00,6,107,88,6,4,9,82.11,15,10
2019/9/1,8:59:00,6,121,98,13,5,5,83.63,15,10
2019/9/1,9:14:00,6,113,92,8,6,7,85.75,15,10
