MIDAS ID, Legacy MIDAS ID, Site Name,,,,,,,,
BA44D262E8F7442BA25499A42CB92210,30032052,MIDAS site at M25/7108B priority 1 on link 200045820; GPS Ref: 503800;176100; Clockwise,,,,,,,,
,,,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, NTIS Model Version
2019/8/1,0:14:00,9,8,8,0,0,0,67.56,15,10
2019/8/1,0:29:00,9,3,3,0,0,0,72.16,15,10
2019/8/1,0:44:00,9,6,3,0,0,3,63.58,15,10
2019/8/1,0:59:00,9,5,5,0,0,0,61.02,15,10
2019/8/1,1:14:00,9,3,3,0,0,0,63.93,15,10
2019/8/1,1:29:00,9,3,3,0,0,0,66.71,15,10
2019/8/1,1:44:00,9,3,3,0,0,0,68.38,15,10
2019/8/1,1:59:00,9,6,5,0,0,1,69.95,15,10
2019/8/1,2:14:00,9,4,3,1,0,0,72.17,15,10
2019/8/1,2:29:00,9,2,2,0,0,0,66.47,15,10
2019/8/1,2:44:00,9,1,1,0,0,0,86,15,10
2019/8/1,2:59:00,9,1,1,0,0,0,88,15,10
2019/8/1,3:14:00,9,7,7,0,0,0,79.04,15,10
2019/8/1,3:29:00,9,20,18,0,0,2,80.97,15,10
2019/8/1,3:44:00,9,30,27,1,0,2,74.87,15,10
2019/8/1,3:59:00,9,47,45,2,0,0,73.19,15,10
2019/8/1,4:14:00,9,68,64,2,0,2,74.95,15,10
2019/8/1,4:29:00,9,77,73,3,0,1,74.83,15,10
2019/8/1,4:44:00,9,73,69,4,0,0,75.99,15,10
2019/8/1,4:59:00,9,161,155,6,0,0,71.72,15,10
2019/8/1,5:14:00,9,177,172,4,1,0,72.62,15,10
2019/8/1,5:29:00,9,238,231,4,2,1,72.64,15,10
2019/8/1,5:44:00,9,230,216,14,0,0,70.49,15,10
2019/8/1,5:59:00,9,179,170,7,0,2,73.91,15,10
2019/8/1,6:14:00,9,152,139,12,0,1,74.4,15,10
2019/8/1,6:29:00,9,166,147,13,0,6,74.43,15,10
2019/8/1,6:44:00,9,153,144,9,0,0,73.28,15,10
2019/8/1,6:59:00,9,176,164,8,2,2,73.39,15,10
2019/8/1,7:14:00,9,161,151,7,1,2,73.95,15,10
2019/8/1,7:29:00,9,154,150,3,1,0,74.32,15,10
2019/8/1,7:44:00,9,187,177,8,1,1,72.47,15,10
2019/8/1,7:59:00,9,165,155,6,1,3,72.45,15,10
2019/8/1,8:14:00,9,175,167,4,1,3,72.34,15,10
2019/8/1,8:29:00,9,168,161,5,0,2,70.79,15,10
2019/8/1,8:44:00,9,157,143,11,1,2,71.29,15,10
2019/8/1,8:59:00,9,150,142,6,0,2,70.89,15,10
2019/8/1,9:14:00,9,119,113,3,1,2,72.75,15,10
2019/8/1,9:29:00,9,115,106,7,0,2,72.46,15,10
2019/8/1,9:44:00,9,105,94,8,0,3,73.31,15,10
2019/8/1,9:59:00,9,98,91,5,2,0,69.91,15,10
2019/8/1,10:14:00,9,87,78,8,0,1,70.86,15,10
2019/8/1,10:29:00,9,113,103,7,0,3,69.67,15,10
2019/8/1,10:44:00,9,94,85,5,0,4,71.25,15,10
2019/8/1,10:59:00,9,95,90,4,0,1,69.65,15,10
2019/8/1,11:14:00,9,112,99,9,3,1,70.26,15,10
2019/8/1,11:29:00,9,114,99,12,1,2,70.21,15,10
2019/8/1,11:44:00,9,119,108,6,2,3,70.89,15,10
2019/8/1,11:59:00,9,129,117,10,0,2,71.5,15,10
2019/8/1,12:14:00,9,126,118,7,0,1,73.36,15,10
2019/8/1,12:29:00,9,129,118,8,0,3,71.3,15,10
2019/8/1,12:44:00,9,145,135,4,2,4,71.02,15,10
2019/8/1,12:59:00,9,112,99,10,0,3,72.58,15,10
2019/8/1,13:14:00,9,130,119,7,0,4,69.28,15,10
2019/8/1,13:29:00,9,154,143,10,0,1,70.81,15,10
2019/8/1,13:44:00,9,157,145,8,1,3,68.35,15,10
2019/8/1,13:59:00,9,150,137,8,2,3,69.57,15,10
2019/8/1,14:14:00,9,148,134,9,2,3,68.73,15,10
2019/8/1,14:29:00,9,109,104,3,0,2,69.78,15,10
2019/8/1,14:44:00,9,111,103,5,0,3,72.09,15,10
2019/8/1,14:59:00,9,105,92,9,3,1,68.34,15,10
2019/8/1,15:14:00,9,94,88,3,1,2,70.13,15,10
2019/8/1,15:29:00,9,114,106,7,1,0,71.01,15,10
2019/8/1,15:44:00,9,116,103,7,2,4,68.91,15,10
