MIDAS ID, Legacy MIDAS ID, Site Name,,,,,,,,
252E8FCEC5DB4C80A3B40E45B253A350,30025228,MIDAS site at M25/4909A priority 1 on link 200045638; GPS Ref: 503070;174470; Clockwise,,,,,,,,
,,,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, NTIS Model Version
2019/9/1,0:14:00,5,464,385,47,17,15,108.16,15,10
2019/9/1,0:29:00,5,440,366,48,12,14,108.37,15,10
2019/9/1,0:44:00,5,410,341,37,13,19,107.71,15,10
2019/9/1,0:59:00,5,453,367,54,18,14,109.54,15,10
2019/9/1,1:14:00,6,361,295,31,19,16,108.69,15,10
2019/9/1,1:29:00,6,353,259,45,25,24,106.5,15,10
2019/9/1,1:44:00,6,307,262,24,12,9,107.38,15,10
2019/9/1,1:59:00,6,271,213,36,7,15,107.14,15,10
2019/9/1,2:14:00,6,237,190,25,7,15,107.45,15,10
2019/9/1,2:29:00,6,244,200,22,10,12,108.21,15,10
2019/9/1,2:44:00,6,274,214,37,9,14,107.43,15,10
2019/9/1,2:59:00,6,268,211,32,8,17,108.28,15,10
2019/9/1,3:14:00,6,262,203,29,17,13,105.27,15,10
2019/9/1,3:29:00,6,238,170,22,25,21,104.67,15,10
2019/9/1,3:44:00,6,245,180,37,7,21,105.8,15,10
2019/9/1,3:59:00,6,239,196,21,11,11,106.82,15,10
2019/9/1,4:14:00,6,289,220,34,16,19,105.91,15,10
2019/9/1,4:29:00,6,312,252,32,11,17,104.62,15,10
2019/9/1,4:44:00,6,363,271,44,17,31,103.15,15,10
2019/9/1,4:59:00,6,368,291,51,8,18,105.35,15,10
2019/9/1,5:14:00,6,393,319,47,16,11,103.8,15,10
2019/9/1,5:29:00,6,501,398,69,12,22,103.02,15,10
2019/9/1,5:44:00,6,582,465,74,13,30,104.99,15,10
2019/9/1,5:59:00,6,568,447,77,24,20,105.76,15,10
2019/9/1,6:14:00,6,600,484,75,26,15,107.33,15,10
2019/9/1,6:29:00,6,646,519,73,30,24,107.67,15,10
2019/9/1,6:44:00,6,697,546,108,20,23,109.89,15,10
2019/9/1,6:59:00,6,683,532,102,27,22,110.69,15,10
2019/9/1,7:14:00,6,749,568,129,30,22,109.91,15,10
2019/9/1,7:29:00,6,861,683,109,39,30,109.87,15,10
2019/9/1,7:44:00,6,862,692,100,40,30,110.31,15,10
2019/9/1,7:59:00,6,854,686,103,40,25,110.41,15,10
2019/9/1,8:14:00,6,920,710,144,33,33,110.81,15,10
2019/9/1,8:29:00,6,1020,828,109,43,40,108.53,15,10
2019/9/1,8:44:00,6,1160,943,147,36,34,109.1,15,10
2019/9/1,8:59:00,6,1181,982,136,31,32,109.37,15,10
2019/9/1,9:14:00,6,1355,1092,188,44,31,109.16,15,10
2019/9/1,9:29:00,6,1380,1136,165,48,31,108.21,15,10
2019/9/1,9:44:00,6,1595,1298,203,57,37,107.51,15,10
2019/9/1,9:59:00,6,1636,1364,203,44,25,106.24,15,10
2019/9/1,10:14:00,6,1751,1472,196,40,43,105.19,15,10
2019/9/1,10:29:00,6,1782,1506,193,45,38,104.01,15,10
2019/9/1,10:44:00,6,1822,1521,202,59,40,103.78,15,10
2019/9/1,10:59:00,6,1728,1442,202,52,32,104.18,15,10
2019/9/1,11:14:00,6,1758,1543,155,39,21,103.99,15,10
2019/9/1,11:29:00,6,1665,1392,188,53,32,93.87,15,10
