,trainS,testS,f1S,preS,recS,AUROC,model.best_params_,i
0,0.17184873949579832,0.11409395973154363,0.11409395973154363,0.11409395973154363,0.11409395973154363,,"{'hidden_layer_sizes': (50, 50)}",_Speed_Value
1,0.9773109243697479,0.9865771812080537,0.9865771812080537,0.9865771812080537,0.9865771812080537,,"{'hidden_layer_sizes': (100, 100)}",_Quality_Index
2,1.0,1.0,1.0,1.0,1.0,,"{'hidden_layer_sizes': (50, 50)}",_NTIS_Model_Version
